#lat lon   β0      A1     d1     A2     d2
88  77.5 3.1036 -0.7472  32.8 -0.2865  47.6
88  80.0 3.1039 -0.7479  32.9 -0.2866  47.3
88  82.5 3.1044 -0.7486  33.1 -0.2867  47.0
88  85.0 3.1050 -0.7496  33.2 -0.2867  46.6
88  87.5 3.1055 -0.7506  33.4 -0.2865  46.2
88  90.0 3.1043 -0.7532  33.5 -0.2869  45.7
88  92.5 3.1049 -0.7559  33.7 -0.2870  45.3
88  95.0 3.1051 -0.7587  33.8 -0.2874  44.8
88  97.5 3.1057 -0.7611  34.0 -0.2878  44.4
88 100.0 3.1064 -0.7632  34.2 -0.2882  44.0
88 102.5 3.1070 -0.7647  34.5 -0.2883  43.6
88 105.0 3.1072 -0.7663  34.8 -0.2880  43.3
88 107.5 3.1088 -0.7599  34.9 -0.2826  43.4
88 110.0 3.1069 -0.7635  35.1 -0.2829  43.2
88 112.5 3.1053 -0.7676  35.2 -0.2832  43.0
88 115.0 3.1029 -0.7721  35.3 -0.2837  42.9
88 117.5 3.1035 -0.7751  35.4 -0.2834  42.7
88 120.0 3.1023 -0.7769  35.4 -0.2826  42.3
88 122.5 3.0999 -0.7799  35.5 -0.2822  42.2
88 125.0 3.0949 -0.7842  35.6 -0.2822  42.2
88 127.5 3.0921 -0.7874  35.7 -0.2815  42.2
88 130.0 3.0897 -0.7911  35.8 -0.2804  42.3
88 132.5 3.0866 -0.7958  35.8 -0.2799  42.4
88 135.0 3.0864 -0.7992  35.9 -0.2789  42.4
88 137.5 3.0857 -0.8019  36.0 -0.2777  42.4
88 140.0 3.0879 -0.8018  36.2 -0.2758  42.4
88 142.5 3.0857 -0.8030  36.3 -0.2754  42.3
88 145.0 3.0838 -0.8038  36.4 -0.2746  42.3
88 147.5 3.0834 -0.8062  36.6 -0.2741  42.5
88 150.0 3.0842 -0.8078  36.6 -0.2724  42.6
88 152.5 3.0830 -0.7973  37.0 -0.2757  41.6
88 155.0 3.0877 -0.7970  37.1 -0.2723  41.6
88 157.5 3.0741 -0.7968  37.9 -0.2648  39.6
88 160.0 3.0767 -0.7948  38.1 -0.2625  39.5
88 162.5 3.0801 -0.7930  38.2 -0.2600  39.4
88 165.0 3.0731 -0.7736  38.9 -0.2712  37.7
88 167.5 3.0756 -0.7989  38.0 -0.2585  39.5
88 170.0 3.0685 -0.8061  37.7 -0.2589  39.7
88 172.5 3.0639 -0.8048  37.3 -0.2538  40.0
88 175.0 3.0635 -0.8231  36.4 -0.2666  42.0
88 177.5 3.0528 -0.8298  36.2 -0.2680  42.2
88 180.0 3.0493 -0.8445  35.5 -0.2613  43.2
88 182.5 3.0412 -0.8503  35.3 -0.2613  43.5
88 185.0 3.0326 -0.8574  35.0 -0.2619  43.9
88 187.5 3.0233 -0.8659  34.8 -0.2623  44.2
88 190.0 3.0138 -0.8742  34.5 -0.2625  44.5
88 192.5 3.0024 -0.8827  34.3 -0.2632  44.7
88 195.0 2.9984 -0.9006  34.3 -0.2521  44.9
88 197.5 2.9971 -0.8875  34.3 -0.2596  45.0
88 200.0 3.0046 -0.8846  34.5 -0.2545  45.2
88 202.5 3.0145 -0.8814  34.8 -0.2488  45.5
88 205.0 3.0203 -0.8813  35.0 -0.2442  45.8
88 207.5 3.0183 -0.8735  35.6 -0.2467  45.2
88 210.0 3.0099 -0.8558  36.1 -0.2332  44.6
88 212.5 3.0077 -0.8589  36.2 -0.2318  45.0
88 215.0 3.0060 -0.8610  36.2 -0.2306  45.4
88 217.5 3.0059 -0.8619  36.2 -0.2286  45.8
88 220.0 3.0025 -0.8650  36.0 -0.2274  46.4
88 222.5 3.0008 -0.8683  36.2 -0.2299  47.0
88 225.0 2.9958 -0.8731  35.7 -0.2241  47.7
88 227.5 2.9986 -0.8994  35.1 -0.2351  49.2
88 230.0 2.9944 -0.9156  34.4 -0.2309  50.8
88 232.5 2.9851 -0.9214  34.1 -0.2320  51.3
88 235.0 2.9761 -0.9263  33.7 -0.2329  51.8
88 237.5 2.9646 -0.9318  33.3 -0.2342  52.2
88 240.0 2.9571 -0.9500  33.0 -0.2247  53.1
88 242.5 2.9521 -0.9531  32.9 -0.2241  53.7
88 245.0 2.9475 -0.9564  32.7 -0.2239  54.3
88 247.5 2.9445 -0.9590  32.5 -0.2240  54.8
88 250.0 2.9430 -0.9606  32.4 -0.2238  55.3
88 252.5 2.9417 -0.9615  32.3 -0.2242  55.8
88 255.0 2.9401 -0.9623  32.2 -0.2243  56.3
88 257.5 2.9385 -0.9629  32.1 -0.2246  56.9
88 260.0 2.9384 -0.9632  32.0 -0.2249  57.6
88 262.5 2.9383 -0.9638  32.0 -0.2257  58.3
88 265.0 2.9397 -0.9634  31.9 -0.2262  59.0
88 267.5 2.9448 -0.9615  31.9 -0.2263  59.6
88 270.0 2.9405 -0.9490  31.7 -0.2373  59.6
88 272.5 2.9394 -0.9489  31.5 -0.2391  60.2
88 275.0 2.9409 -0.9479  31.4 -0.2405  60.8
88 277.5 2.9398 -0.9472  31.2 -0.2431  61.3
88 280.0 2.9409 -0.9448  31.1 -0.2448  61.7
88 282.5 2.9418 -0.9423  31.0 -0.2464  62.1
88 285.0 2.9445 -0.9395  30.9 -0.2472  62.5
88 287.5 2.9442 -0.9389  30.8 -0.2485  62.9
88 290.0 2.9427 -0.9394  30.6 -0.2498  63.2
88 292.5 2.9409 -0.9397  30.4 -0.2510  63.5
88 295.0 2.9411 -0.9389  30.2 -0.2518  63.8
88 297.5 2.9409 -0.9370  30.1 -0.2522  64.1
88 300.0 2.9393 -0.9351  30.0 -0.2528  64.3
88 302.5 2.9370 -0.9339  29.9 -0.2536  64.5
88 305.0 2.9370 -0.9318  29.8 -0.2539  64.7
88 307.5 2.9368 -0.9302  29.8 -0.2543  64.8
88 310.0 2.9400 -0.9274  29.8 -0.2544  65.0
88 312.5 2.9484 -0.9355  29.9 -0.2456  65.9
88 315.0 2.9522 -0.9305  29.9 -0.2458  66.0
88 317.5 2.9551 -0.9248  30.0 -0.2460  65.9
88 320.0 2.9595 -0.9174  30.0 -0.2456  65.9
88 322.5 2.9621 -0.9111  30.0 -0.2456  65.7
88 325.0 2.9605 -0.8932  29.8 -0.2543  64.6
88 327.5 2.9655 -0.8873  29.8 -0.2536  64.4
88 330.0 2.9700 -0.8819  29.8 -0.2535  64.1
88 332.5 2.9763 -0.8749  29.9 -0.2530  63.9
88 335.0 2.9816 -0.8669  29.9 -0.2530  63.6
88 337.5 2.9886 -0.8569  30.0 -0.2527  63.3
88 340.0 2.9940 -0.8473  30.1 -0.2524  62.9
88 342.5 3.0007 -0.8381  30.1 -0.2518  62.5
88 345.0 3.0056 -0.8313  30.1 -0.2512  62.2
88 347.5 3.0120 -0.8251  30.2 -0.2506  61.9
88 350.0 3.0174 -0.8186  30.2 -0.2507  61.6
88 352.5 3.0251 -0.8092  30.3 -0.2503  61.3
88 355.0 3.0324 -0.7991  30.4 -0.2504  61.0
88 357.5 3.0386 -0.7934  30.6 -0.2542  60.3
86   0.0 3.0740 -0.7508  30.4 -0.2335  66.7
86   2.5 3.0848 -0.7268  30.6 -0.2370  67.8
86   5.0 3.0869 -0.7189  30.6 -0.2398  66.8
86   7.5 3.0890 -0.7167  30.6 -0.2290  66.6
86  10.0 3.1017 -0.7026  30.9 -0.2291  65.8
86  12.5 3.1164 -0.6934  30.9 -0.2291  65.0
86  15.0 3.1248 -0.6814  31.1 -0.2308  64.0
86  17.5 3.1402 -0.6492  31.8 -0.2421  62.4
86  20.0 3.1622 -0.6410  31.9 -0.2353  61.1
86  22.5 3.1779 -0.6315  32.2 -0.2326  60.2
86  25.0 3.1834 -0.6190  32.8 -0.2380  59.2
86  27.5 3.1882 -0.6116  33.2 -0.2402  58.1
86  30.0 3.1897 -0.6077  33.4 -0.2416  57.1
86  32.5 3.1884 -0.6045  33.6 -0.2447  56.0
86  35.0 3.1941 -0.5995  34.0 -0.2471  55.1
86  37.5 3.2007 -0.5939  34.5 -0.2504  54.2
86  40.0 3.2037 -0.5870  34.8 -0.2557  53.4
86  42.5 3.2144 -0.5780  35.3 -0.2624  52.6
86  45.0 3.2229 -0.5754  35.8 -0.2714  52.0
86  47.5 3.2240 -0.5781  35.6 -0.2787  51.3
86  50.0 3.2234 -0.5817  35.5 -0.2844  50.5
86  52.5 3.2219 -0.5872  35.3 -0.2905  49.8
86  55.0 3.2191 -0.5925  35.1 -0.2942  48.8
86  57.5 3.2149 -0.5993  35.1 -0.2991  48.1
86  60.0 3.2149 -0.6039  35.2 -0.3030  47.2
86  62.5 3.2133 -0.6097  35.5 -0.3077  46.7
86  65.0 3.2097 -0.6160  35.5 -0.3110  46.2
86  67.5 3.2072 -0.6225  35.5 -0.3146  45.8
86  70.0 3.2027 -0.6286  35.4 -0.3188  45.3
86  72.5 3.2012 -0.6333  35.3 -0.3220  44.9
86  75.0 3.2015 -0.6379  35.4 -0.3241  44.3
86  77.5 3.1978 -0.6440  35.5 -0.3274  43.8
86  80.0 3.1924 -0.6505  35.6 -0.3308  43.3
86  82.5 3.1893 -0.6569  35.9 -0.3342  42.8
86  85.0 3.1907 -0.6572  36.1 -0.3329  42.1
86  87.5 3.1903 -0.6623  36.4 -0.3371  41.6
86  90.0 3.1871 -0.6695  36.6 -0.3415  40.9
86  92.5 3.1823 -0.6779  36.8 -0.3456  40.3
86  95.0 3.1802 -0.6835  37.1 -0.3485  39.7
86  97.5 3.1818 -0.6867  37.5 -0.3504  39.0
86 100.0 3.1833 -0.6921  37.9 -0.3509  38.5
86 102.5 3.1854 -0.6976  38.3 -0.3497  37.9
86 105.0 3.1874 -0.7017  38.7 -0.3481  37.4
86 107.5 3.1869 -0.7076  39.0 -0.3466  36.8
86 110.0 3.1859 -0.7171  39.2 -0.3439  36.4
86 112.5 3.1820 -0.7275  39.3 -0.3415  36.0
86 115.0 3.1709 -0.7365  39.2 -0.3414  35.5
86 117.5 3.1590 -0.7470  39.5 -0.3475  35.4
86 120.0 3.1520 -0.7456  39.1 -0.3408  34.9
86 122.5 3.1484 -0.7492  39.2 -0.3399  34.6
86 125.0 3.1452 -0.7503  39.4 -0.3388  34.4
86 127.5 3.1398 -0.7547  39.5 -0.3365  34.4
86 130.0 3.1382 -0.7586  39.9 -0.3344  34.6
86 132.5 3.1404 -0.7583  40.0 -0.3322  34.5
86 135.0 3.1422 -0.7657  40.1 -0.3332  34.1
86 137.5 3.1399 -0.7722  40.5 -0.3304  34.7
86 140.0 3.1345 -0.7715  40.2 -0.3293  34.3
86 142.5 3.1333 -0.7696  40.4 -0.3215  34.9
86 145.0 3.1285 -0.7755  40.2 -0.3190  35.2
86 147.5 3.1235 -0.7798  40.0 -0.3192  35.2
86 150.0 3.1201 -0.7851  39.8 -0.3194  35.2
86 152.5 3.1212 -0.7882  39.8 -0.3164  35.2
86 155.0 3.1181 -0.7788  40.3 -0.3210  34.4
86 157.5 3.1197 -0.7813  40.2 -0.3172  34.2
86 160.0 3.1210 -0.7840  40.1 -0.3115  34.3
86 162.5 3.1136 -0.7883  39.9 -0.3062  34.4
86 165.0 3.1041 -0.7932  39.6 -0.3029  34.6
86 167.5 3.0950 -0.7985  39.3 -0.3000  34.7
86 170.0 3.0880 -0.8148  38.6 -0.2876  35.9
86 172.5 3.0760 -0.8194  38.0 -0.2831  36.0
86 175.0 3.0637 -0.8272  37.5 -0.2806  36.3
86 177.5 3.0590 -0.8294  37.4 -0.2758  36.6
86 180.0 3.0561 -0.8346  37.3 -0.2712  36.9
86 182.5 3.0582 -0.8401  37.2 -0.2671  37.0
86 185.0 3.0492 -0.8365  37.7 -0.2726  36.6
86 187.5 3.0500 -0.8401  37.9 -0.2680  36.6
86 190.0 3.0515 -0.8483  37.8 -0.2649  36.9
86 192.5 3.0449 -0.8462  38.8 -0.2581  35.3
86 195.0 3.0426 -0.8690  37.7 -0.2609  37.4
86 197.5 3.0238 -0.8863  37.5 -0.2605  37.8
86 200.0 3.0143 -0.9119  36.8 -0.2506  38.7
86 202.5 3.0013 -0.9286  36.7 -0.2493  39.1
86 205.0 2.9941 -0.9555  36.8 -0.2376  39.0
86 207.5 2.9797 -0.9695  36.6 -0.2370  39.4
86 210.0 2.9778 -0.9765  36.6 -0.2340  39.6
86 212.5 2.9823 -0.9692  36.8 -0.2379  40.2
86 215.0 2.9814 -0.9640  37.3 -0.2394  39.8
86 217.5 2.9763 -0.9599  37.0 -0.2367  41.2
86 220.0 2.9685 -0.9661  37.0 -0.2328  41.7
86 222.5 2.9605 -0.9716  36.9 -0.2280  42.4
86 225.0 2.9579 -0.9968  36.5 -0.2134  42.9
86 227.5 2.9486 -1.0187  36.2 -0.2015  43.6
86 230.0 2.9324 -1.0309  35.9 -0.2011  44.3
86 232.5 2.9248 -1.0366  35.7 -0.1977  44.9
86 235.0 2.9329 -1.0347  35.9 -0.1916  45.3
86 237.5 2.9312 -1.0148  35.7 -0.2031  46.9
86 240.0 2.9359 -1.0150  35.8 -0.1995  47.4
86 242.5 2.9258 -1.0230  35.5 -0.1995  48.1
86 245.0 2.9258 -1.0507  35.9 -0.1816  47.7
86 247.5 2.9070 -1.0633  35.5 -0.1814  48.4
86 250.0 2.8790 -1.0808  34.9 -0.1841  49.2
86 252.5 2.8548 -1.0954  34.4 -0.1880  50.2
86 255.0 2.8371 -1.1045  34.1 -0.1919  51.4
86 257.5 2.8330 -1.1055  33.9 -0.1935  52.6
86 260.0 2.8454 -1.0989  34.0 -0.1928  54.2
86 262.5 2.8597 -1.0920  34.1 -0.1930  55.8
86 265.0 2.8754 -1.0835  34.1 -0.1928  57.5
86 267.5 2.8898 -1.0765  34.1 -0.1919  59.1
86 270.0 2.8886 -1.0559  33.5 -0.2102  60.6
86 272.5 2.8929 -1.0527  33.3 -0.2125  62.1
86 275.0 2.8791 -1.0568  32.7 -0.2182  63.1
86 277.5 2.8747 -1.0799  32.7 -0.2063  64.5
